ab_group_id,ab_question_id,result,user_id,matching,debt,payments,avg_cost,useful,failed,arpu,user_group,sms_count,sms_fail,orders_agree,orders_part,orders_talk,kpd,avg_read_viber,balance_start,block_premium,orders_via_app,orders_via_viber,orders_other_channels,price_per_hour,id_how_did_know,has_password_hash,has_email,has_user_phone2,has_user_description,has_conditions,has_description,has_education,has_experience,has_buy_premium,has_has_brigade,has_experience_years,has_premium_description,has_foto,has_viber,has_app_token_new,has_notification_sound,has_viber_registration,has_app_registration,has_device_info,has_terms_of_pay,has_android_id
3,1,False,72671,,,,,,,,,,,,,,,,,,0,0,,,2,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
3,1,False,73626,0,0,0,0,0,1,0,1,4,0,0,0,0,0,,2147483647,0,0,0,1,1000,8,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True
1,1,False,57926,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2147483647,0,0,0,0,500,8,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
1,1,True,62072,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2147483647,0,0,0,0,,3,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True
1,1,True,70352,0,0,0,0,0,0,0,1,2,0,0,0,0,0,73,2147483647,0,0,0,0,,2,True,True,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,True
1,1,False,71279,,,,,,,,,,,,,,,,,,0,0,,,3,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
3,,False,57724,0,0,0,0,0,1,0,1,3,0,0,0,0,0,48,2147483647,0,0,0,1,1200,3,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True
3,1,False,69303,,,,,,,,,,,,,,,,,,0,0,,,,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True
3,1,False,59244,,,,,,,,,,,,,,,,,,0,0,,500,2,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True
3,2,False,70894,0,0,1000,500,2,5,143,1,47,21,0,0,0,0,,2147483647,0,2,0,5,,2,True,True,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True
3,2,False,72670,0,0,700,700,1,1,350,1,2,0,0,0,0,0,81,2147483647,0,0,1,1,,3,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False
3,2,False,74295,,,,,,,,,,,,,,,,,,0,0,,350,3,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True
3,2,False,36230,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,2147483647,0,0,0,0,,,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,True,False
3,2,True,37385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,2147483647,0,0,0,0,,,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,True,False
1,1,False,65632,0,0,9700,647,15,1,607,3,146,67,0,0,0,0,27,2147483647,0,1,0,15,,8,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True
1,2,True,48987,0,0,17920,618,29,62,197,3,372,48,0,0,0,0,,2147483647,0,51,0,40,5000,2,True,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True
3,3,False,44262,0,0,1200,400,3,0,400,1,8,150,0,0,0,0,17,2147483647,0,0,1,2,500,,True,True,False,True,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False
3,3,False,69289,,,,,,,,,,,,,,,,,,0,0,,,3,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True
2,1,False,55962,0,0,0,0,0,1,0,1,4,0,0,0,0,0,,2147483647,0,1,0,0,,8,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
3,3,False,69772,,,,,,,,,,,,,,,,,,0,0,,1000,,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True
1,2,True,70625,,,,,,,,,,,,,,,,,,0,0,,,1,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
2,1,True,70700,,,,,,,,,,,,,,,,,,0,0,,3000,1,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
2,1,True,71899,,,,,,,,,,,,,,,,,,0,0,,500,2,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
2,1,True,75743,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,2147483647,0,0,0,0,1500,2,True,False,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True
2,1,False,10328,0,0,20800,424,49,78,164,3,263,79,0,0,0,0,36,0,0,37,41,49,300,,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True
2,2,True,17909,0,0,6900,531,13,14,256,3,55,126,0,0,0,0,10,2147483647,0,5,3,19,700,,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False
3,3,False,25885,0,0,1500,500,3,2,300,1,18,83,0,0,0,0,38,2147483647,0,0,3,2,700,,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False
3,3,True,25892,0,0,2500,500,5,3,313,1,26,96,0,0,0,0,40,2147483647,0,0,6,2,700,,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False
3,4,False,31094,0,0,2400,400,6,5,218,3,31,77,0,0,0,0,108,2147483647,0,2,2,7,500,3,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
3,4,True,44708,,,,,,,,,,,,,,,,,,0,0,,500,,True,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True
1,2,True,47604,0,0,0,0,0,3,0,1,11,0,0,0,0,0,26,2147483647,0,0,0,3,,8,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False
3,4,False,71215,,,,,,,,,,,,,,,,,,0,0,,500,3,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True
3,4,False,69112,0,0,13100,524,25,11,364,3,212,62,0,0,0,0,,2147483647,1,1,0,35,200,2,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True
1,2,False,74784,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,2147483647,0,0,0,1,,2,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
3,4,False,75158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2147483647,0,0,0,0,,1,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True
3,5,False,75267,0,0,0,0,0,1,0,1,3,0,0,0,0,0,112,2147483647,0,0,0,1,1000,1,True,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,False,True
3,5,False,75703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2147483647,0,0,0,0,,2,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
3,5,False,10585,0,0,0,0,0,3,0,1,1,0,0,0,0,0,,0,0,0,0,3,500,,True,False,False,True,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True
